ear_left,ear_right,ear_mean,ear_asymmetry,mar,mouth_width,mouth_height,corner_lift_left,corner_lift_right,corner_asymmetry,com_mej_left,com_mej_right,com_mej_mean,com_mej_asymmetry,brow_h_left,brow_h_right,brow_h_mean,ba,brow_angle_left,brow_angle_right,nose_width,philtrum_len,nasolabial_mean,d_0_1,d_0_2,d_0_3,d_0_4,d_0_5,d_0_6,d_0_7,d_0_8,d_0_9,d_1_2,d_1_3,d_1_4,d_1_5,d_1_6,d_1_7,d_1_8,d_1_9,d_2_3,d_2_4,d_2_5,d_2_6,d_2_7,d_2_8,d_2_9,d_3_4,d_3_5,d_3_6,d_3_7,d_3_8,d_3_9,d_4_5,d_4_6,d_4_7,d_4_8,d_4_9,d_5_6,d_5_7,d_5_8,d_5_9,d_6_7,d_6_8,d_6_9,d_7_8,d_7_9,d_8_9,label
0.4407202,0.2467636,0.3437419,0.1939566,0.2999359,0.8011409,0.2402909,0.0389131,-0.0022012,0.0411143,1.3456481,1.3588077,1.3522279,0.0131596,0.9136234,0.8748226,0.894223,0.0388008,1.3846543,1.2175888,0.4977818,0.6347737,0.4632294,1.0,0.9136234,0.5277257,0.864186,1.2865277,0.9555677,0.9938366,1.7886361,1.0897586,0.5188965,0.8748226,0.8663179,0.9526062,1.3295115,1.0163333,1.0469065,1.856263,0.5266068,0.8498325,1.342742,1.5232015,1.2621738,1.5035987,1.9150196,0.8151532,1.4585204,1.3420568,1.2252163,1.8287847,1.5671481,0.8950405,0.9211686,0.6347737,1.8152241,1.8570558,0.8011409,0.4380159,1.3456481,1.8964362,0.4465852,1.8853726,1.3588077,1.6403624,1.6577729,2.1806848,alegria
0.5198243,0.4044366,0.4621304,0.1153876,0.1461036,1.0315894,0.150719,0.0493932,0.0197691,0.0296241,1.2331813,1.3215571,1.2773692,0.0883758,0.9060341,0.8785591,0.8922966,0.027475,1.2828075,1.4204444,0.5981967,0.6742842,0.5276607,1.0,0.9060341,0.5369487,1.0206054,1.4807062,1.1072915,1.2168651,1.7896843,1.1253743,0.5511537,0.8785591,0.9868393,1.1049663,1.5208333,1.2024651,1.0666624,1.8857543,0.5045084,0.9941051,1.5178977,1.7166959,1.4554625,1.5976586,1.9644048,1.0462178,1.6740683,1.551442,1.4751873,1.8616949,1.6069968,0.974938,1.0852423,0.6742842,1.8165298,1.9736173,1.0315894,0.5258096,1.2331813,2.0406913,0.6402545,1.895112,1.3215571,1.632662,1.8122033,2.1817749,alegria
0.5205556,0.4097366,0.4651461,0.110819,0.146335,0.9083111,0.1329177,0.0343851,0.0457047,0.0113196,1.2158091,1.3070391,1.2614241,0.0912299,0.9276853,0.8794822,0.9035838,0.0482031,1.2587802,1.3668331,0.5972956,0.6454591,0.455529,1.0,0.9276853,0.5490912,0.9872753,1.3885629,1.0221396,1.1891923,1.6433445,1.0952839,0.5245958,0.8794822,0.9273813,1.0369473,1.4171718,1.1674747,0.9354246,1.8927983,0.5288509,1.0105557,1.459779,1.6362767,1.4601437,1.4039564,1.9551791,1.0355069,1.601846,1.4669199,1.4656602,1.7006277,1.5870891,0.8788041,0.9557748,0.6454591,1.6778695,1.9097037,0.9083111,0.4603899,1.2158091,1.9595329,0.5556502,1.7800829,1.3070391,1.5666221,1.7693925,2.1043792,alegria
0.5094617,0.3352712,0.4223665,0.1741905,0.2529861,1.0438002,0.2640669,0.1243859,0.021827,0.1025589,1.2233054,1.2219991,1.2226523,0.0013063,0.8809233,0.8945911,0.8877572,0.0136678,1.5285836,1.0004039,0.5594154,0.6440428,0.5027853,1.0,0.8809233,0.5329423,0.9376585,1.4031728,0.9680184,1.0996648,1.8422161,1.0785966,0.5371261,0.8945911,0.977264,0.9655181,1.4097261,1.133694,1.0893473,1.8311973,0.5033055,0.9663354,1.4037203,1.5741204,1.3680786,1.5786302,1.8797624,0.9187833,1.5685412,1.3851341,1.3361902,1.9105345,1.5759447,1.0225771,0.9698096,0.6440428,1.9176881,1.8585009,1.0438002,0.6268498,1.2233054,1.9297479,0.553458,1.9633141,1.2219991,1.7375779,1.6715224,2.1985519,alegria
0.5046521,0.3248462,0.4147492,0.1798059,0.1177059,1.1243806,0.1323462,0.0637784,0.0544624,0.009316,1.2801645,1.2461389,1.2631517,0.0340256,0.8985132,0.9113859,0.9049496,0.0128726,1.4376932,1.2959752,0.5881321,0.6834696,0.5093166,1.0,0.8985132,0.5610165,0.9613219,1.4662926,1.0092925,1.1774309,1.967261,1.0988234,0.5695916,0.9113859,0.9810901,0.9910211,1.4483105,1.1794684,1.1949942,1.8417176,0.5007807,1.0253415,1.4848109,1.653594,1.4768301,1.6983718,1.9100033,0.9883597,1.6587966,1.4682814,1.4568626,2.0373054,1.6127107,1.0579241,0.9955928,0.6834696,2.0182551,1.8891888,1.1243806,0.6608194,1.2801645,1.9891366,0.5971411,2.1062654,1.2461389,1.8469165,1.7300431,2.3136551,alegria
0.441133,0.2524834,0.3468082,0.1886496,0.269596,0.8107918,0.2185862,0.0174178,0.0403259,0.0229081,1.2713711,1.2767197,1.2740454,0.0053486,0.8912262,0.8774762,0.8843512,0.01375,1.2597328,1.4739566,0.4716183,0.5921924,0.4372219,1.0,0.8912262,0.5489478,0.8794214,1.2839761,0.9342063,1.0319014,1.7575091,1.0187467,0.5528377,0.8774762,0.8820056,0.9017629,1.2875463,1.0204809,1.0083653,1.7611909,0.4788307,0.8970261,1.334858,1.496036,1.2863846,1.4899567,1.8119438,0.8803955,1.4639498,1.3501925,1.2757479,1.7875924,1.5092807,0.8727015,0.8787904,0.5921924,1.7855331,1.7800689,0.8107918,0.4599021,1.2713711,1.8131286,0.4630947,1.8200423,1.2767197,1.6272783,1.6262633,2.0684075,alegria
0.5148553,0.2948584,0.4048568,0.2199969,0.1337771,0.9113142,0.121913,0.112826,-0.0046799,0.1175059,1.3219205,1.3307925,1.3263565,0.008872,0.8940216,0.8976251,0.8958234,0.0036035,1.4552021,0.9079317,0.5352768,0.6775576,0.4750934,1.0,0.8940216,0.5506582,0.9572132,1.365833,0.9872236,1.1407861,1.8471608,1.1169184,0.5408436,0.8976251,0.9847838,0.9730792,1.3705415,1.1687023,1.1195894,1.8453207,0.5061149,0.9634403,1.3918545,1.5576802,1.4048173,1.609855,1.918241,0.9197507,1.5410951,1.3941309,1.3767992,1.9349035,1.6288934,0.9774278,0.9522822,0.6775576,1.9634194,1.9294764,0.9113142,0.5604002,1.3219205,1.9273391,0.4950815,1.9331167,1.3307925,1.7921192,1.747754,2.1581213,alegria
0.419437,0.2372465,0.3283417,0.1821905,0.2253451,1.0258533,0.231171,0.0577011,0.0628963,0.0051953,1.172434,1.1817765,1.1771053,0.0093426,0.8710324,0.899604,0.8853182,0.0285716,1.3463453,1.4347254,0.544363,0.6436912,0.5123157,1.0,0.8710324,0.5556613,0.9599636,1.3696499,0.933584,1.0964896,1.8037769,1.1190405,0.5689555,0.899604,0.9279037,0.927882,1.3811103,1.0646978,1.0825211,1.8638829,0.4688091,0.9071304,1.3849765,1.5513307,1.3166265,1.6114755,1.9192576,0.9583903,1.5646803,1.4057738,1.3544144,1.8870077,1.6231192,0.990197,1.0485938,0.6436912,1.8602883,1.9339666,1.0258533,0.5579141,1.172434,1.9255655,0.6407712,1.864508,1.1817765,1.6384229,1.7266284,2.1517836,alegria
0.4928415,0.3151687,0.4040051,0.1776727,0.2906291,0.7878969,0.2289858,0.0630551,-0.0406305,0.1036856,1.4211511,1.3343128,1.377732,0.0868383,0.8972431,0.8814224,0.8893327,0.0158207,1.435884,1.1145357,0.4128627,0.580661,0.4607726,1.0,0.8972431,0.5684696,0.874881,1.33803,1.0138057,1.0726187,1.7917755,0.9336026,0.5583636,0.8814224,0.9122117,1.0420051,1.377862,1.1265841,0.991893,1.7129839,0.4735184,0.9836423,1.4719016,1.6001561,1.4029105,1.4612377,1.7266257,0.961409,1.5781702,1.4624355,1.3789713,1.7846283,1.4141599,0.8591004,0.8505845,0.580661,1.7908673,1.6951356,0.7878969,0.4630615,1.4211511,1.8348834,0.4259863,1.9525203,1.3343128,1.7410649,1.6145382,2.1447276,alegria
0.5210437,0.3741414,0.4475925,0.1469022,0.1160539,1.0114427,0.1173819,0.082798,0.0245482,0.0582498,1.2117701,1.2581122,1.2349411,0.0463421,0.8719464,0.8940281,0.8829872,0.0220816,1.4369607,1.2995738,0.525706,0.6860014,0.4909693,1.0,0.8719464,0.5765765,0.9118619,1.3617093,1.0075439,1.1531109,1.9084045,1.0869276,0.5485533,0.8940281,0.9462419,0.9300788,1.4292233,1.1700213,1.1254685,1.8676105,0.4661401,0.9437272,1.3757218,1.6054164,1.4230725,1.6326376,1.8917391,0.9803311,1.5747602,1.4963098,1.4674227,1.9520882,1.5969834,0.9768488,0.9861637,0.6860014,1.9100676,1.8496312,1.0114427,0.5932309,1.2117701,1.9396206,0.5629611,2.0005338,1.2581122,1.7570751,1.7263473,2.3415335,alegria
